"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-A_Gain","UV379-A_Gain","UV446-A_Gain","UV515-A_Gain","UV540-A_Gain","UV585-A_Gain","UV610-A_Gain","UV660-A_Gain","UV695-A_Gain","UV736-A_Gain","UV809-A_Gain","V427-A_Gain","V450-A_Gain","V470-A_Gain","V510-A_Gain","V540-A_Gain","V576-A_Gain","V595-A_Gain","V615-A_Gain","V660-A_Gain","V680-A_Gain","V710-A_Gain","V750-A_Gain","V785-A_Gain","V845-A_Gain","B510-A_Gain","B537-A_Gain","B576-A_Gain","B602-A_Gain","B660-A_Gain","B675-A_Gain","B710-A_Gain","B750-A_Gain","B810-A_Gain","YG585-A_Gain","YG602-A_Gain","YG660-A_Gain","YG670-A_Gain","YG695-A_Gain","YG730-A_Gain","YG750-A_Gain","YG780-A_Gain","YG825-A_Gain","R660-A_Gain","R675-A_Gain","R680-A_Gain","R710-A_Gain","R730-A_Gain","R780-A_Gain","Time_Gain","UV_LaserDelay","Violet_LaserDelay","Blue_LaserDelay","Yellgrn_LaserDelay","Red_LaserDelay","UV_AreaScalingFactor","Violet_AreaScalingFactor","Blue_AreaScalingFactor","Yellgrn_AreaScalingFactor","Red_AreaScalingFactor","FSC-A-% rCV","SSC-A-% rCV","UV379-A-% rCV","UV446-A-% rCV","UV515-A-% rCV","UV540-A-% rCV","UV585-A-% rCV","UV610-A-% rCV","UV660-A-% rCV","UV695-A-% rCV","UV736-A-% rCV","UV809-A-% rCV","V427-A-% rCV","V450-A-% rCV","V470-A-% rCV","V510-A-% rCV","V540-A-% rCV","V576-A-% rCV","V595-A-% rCV","V615-A-% rCV","V660-A-% rCV","V680-A-% rCV","V710-A-% rCV","V750-A-% rCV","V785-A-% rCV","V845-A-% rCV","B510-A-% rCV","B537-A-% rCV","B576-A-% rCV","B602-A-% rCV","B660-A-% rCV","B675-A-% rCV","B710-A-% rCV","B750-A-% rCV","B810-A-% rCV","YG585-A-% rCV","YG602-A-% rCV","YG660-A-% rCV","YG670-A-% rCV","YG695-A-% rCV","YG730-A-% rCV","YG750-A-% rCV","YG780-A-% rCV","YG825-A-% rCV","R660-A-% rCV","R675-A-% rCV","R680-A-% rCV","R710-A-% rCV","R730-A-% rCV","R780-A-% rCV","FSC-A","SSC-A","UV379-A","UV446-A","UV515-A","UV540-A","UV585-A","UV610-A","UV660-A","UV695-A","UV736-A","UV809-A","V427-A","V450-A","V470-A","V510-A","V540-A","V576-A","V595-A","V615-A","V660-A","V680-A","V710-A","V750-A","V785-A","V845-A","B510-A","B537-A","B576-A","B602-A","B660-A","B675-A","B710-A","B750-A","B810-A","YG585-A","YG602-A","YG660-A","YG670-A","YG695-A","YG730-A","YG750-A","YG780-A","YG825-A","R660-A","R675-A","R680-A","R710-A","R730-A","R780-A"
"31-AUG-2026",2026-08-31 08:48:01,2026-08-31,8H 48M 1S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-73.6,-37.55,0,70.53,35.28,1.26,1.15,1.12,1.06,0.85,2.67,4.08,6.87,4.93,8.42,7.55,6.99,6.39,5.31,4.69,3.93,3.35,2.67,1.52,2.48,2.59,2.53,2.57,2.5,2.62,2.38,2.08,2.07,2.6,2.74,3,3.44,3.15,3.33,3.4,3.42,3.15,2.92,2.96,3.05,2.2,2.12,1.85,1.87,1.73,2.04,2.34,2,1.98,3.33,3.03,2.96,2.87,2.84,2.86,82721.2890625,151068.28125,9694.3359375,14720.9716796875,12632.1962890625,13701.8037109375,11486.17578125,12650.8779296875,10033.7919921875,9451.3076171875,12919.0791015625,13488.3974609375,15127.4833984375,10275,14189.576171875,14306.1650390625,12445.2900390625,11136.01953125,12519.3349609375,8362.1640625,9830.0791015625,8931.38671875,10535.376953125,16068.71875,19444.841796875,8976.9345703125,8235.26953125,5492.89453125,5604.2275390625,5313.2431640625,11461.2490234375,10070.451171875,10414.2568359375,9975.169921875,10229.1494140625,8734.7080078125,8596.037109375,6837.0166015625,6951.5908203125,8958.5419921875,8886.625,5700.10791015625,9722.4677734375,7020.88818359375,11651.9609375,9195.091796875,12765.2666015625,17673.18359375,13510.4716796875,10120.6259765625
"28-AUG-2026",2026-08-28 08:25:41,2026-08-28,8H 25M 41S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-74.27,-38.01,0,70.88,35.43,1.26,1.13,1.1,1.06,0.85,2.31,4.85,7.15,4.49,7.39,6.82,6.4,5.9,4.94,4.82,4.33,4.06,2.01,1.19,2.14,2.19,2.15,2.38,2.27,2.33,2.2,2.52,2.67,2.67,2.62,2.62,2.66,2.48,2.86,2.8,2.65,2.53,2.48,2.67,2.72,3.03,2.96,2.89,3.05,3.1,3.35,3.5,3.21,3.04,2.35,2.02,1.94,1.94,2.01,2.04,82685.2578125,153400.3984375,9948.74951171875,14891.4565429688,12660.884765625,13722.6186523438,11476.7915039062,12646.9633789062,10120.0346679688,9279,12410.5625,13055.7607421875,15277.5263671875,10045.8447265625,13792.7778320312,13769.5224609375,11988.1591796875,10715.181640625,12063.7490234375,8066.11376953125,9567.1767578125,8630.58349609375,9901.765625,15086.41796875,18320.7373046875,8556.3896484375,8057.80786132812,5477.04931640625,5558.39819335938,5282.00634765625,11472.2075195312,10013.48046875,10079.4526367188,9579.59423828125,9872.02294921875,8477.646484375,8344.77490234375,6753.537109375,6852.02099609375,8688.458984375,8418.001953125,5397.7333984375,9252.31103515625,6705.56713867188,12033.2348632812,9371.94140625,12790.291015625,17358.671875,13144.5302734375,9905.73046875
"27-AUG-2026",2026-08-27 08:22:23,2026-08-27,8H 22M 23S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-72.98,-37.23,0,70.16,35.19,1.27,1.15,1.11,1.07,0.86,2.28,4.85,7.63,4.5,7.16,6.64,5.99,5.63,4.75,4.38,3.95,3.58,1.92,0.99,1.9,1.92,1.94,2.03,2.01,2.1,1.97,1.81,1.92,2.3,2.14,2.23,3.24,2.89,3.17,3.25,3.23,2.93,2.87,2.78,2.9,2.06,1.97,1.96,1.91,1.82,2.21,2.37,1.95,1.96,2.75,2.26,2.21,2.12,2.13,2.03,83011.70703125,152211.1875,10962.7041015625,15843.095703125,13194.8388671875,14287.4604492188,11811.802734375,12993.369140625,10925.494140625,10307.6772460938,13629.4750976562,14283.3359375,15774.2016601562,10451.7915039062,14092.7563476562,13947.7514648438,12096.7817382812,10745.0087890625,12094.5498046875,8064.80541992188,9813.06982421875,9140.49169921875,10530.7895507812,16032.7915039062,19479.671875,9091.12841796875,8050.02978515625,5465.4013671875,5491.65405273438,5211.8876953125,11499.857421875,10339.4135742188,10564.951171875,10029.4375,10338.5908203125,8353.056640625,8228.03515625,6954.01904296875,7202.0234375,9180.80859375,8952.55859375,5735.4130859375,9810.64013671875,7110.95751953125,12415.177734375,9759.00390625,13352.4497070312,18154.0537109375,13690.5478515625,10371.8408203125
"26-AUG-2026",2026-08-26 08:08:01,2026-08-26,8H 8M 1S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-73.12,-37.31,0,70.04,35.08,1.25,1.16,1.11,1.07,0.86,4.29,7.99,14.62,9.36,15.9,14.86,13.79,12.97,10.06,11.84,13.89,13.03,4.27,2.57,4.1,4.29,4.43,5.49,6.08,6.8,5.22,7.29,10.72,11.59,12,11.86,5.03,6.7,9.58,9.86,7.83,4.34,7.72,9.28,9.78,9.94,9.78,5.73,6.89,9.57,12.58,13.1,12.68,12.41,6.16,6.91,8.52,10.7,11.83,11.49,83189.1640625,154558.4921875,9367.8251953125,14614.1552734375,12301.0786132812,13583.0864257812,12008.44140625,13518.1782226562,9544.14892578125,7439.38647460938,9387.4609375,9802.67724609375,15384.6943359375,10573.6328125,14373.361328125,14388.9213867188,12639.3359375,11698.1875,13321.4482421875,9048.15625,9769.9873046875,7495.3671875,8037.109375,11954.5629882812,14416.0703125,6707.07739257812,8614.26513671875,5863.81396484375,6295.806640625,5947.94018554688,12291.9418945312,9398.39501953125,8383.98583984375,7617.48828125,7765.7568359375,10287.8012695312,9987.71044921875,6505.33715820312,5896.35546875,6951.48828125,6350.85424804688,4029.07055664062,6898.57104492188,4956.87744140625,10769.8041992188,7937.97924804688,10415.951171875,13620.6328125,10054.478515625,7582.09252929688
"25-AUG-2026",2026-08-25 09:13:00,2026-08-25,9H 13M 0S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-73.4,-37.28,0,70.24,35.21,1.27,1.15,1.11,1.07,0.86,3.59,2.54,6.35,3.28,6.13,5.75,5.09,4.48,3.56,3.35,2.99,2.86,5.74,3.24,6.06,6.23,6.29,6.3,6.28,6.24,6.12,5.75,4.98,4.79,4.55,4.58,2.6,2.55,2.98,2.8,3.07,3.17,2.81,2.72,3.04,4.5,4.59,4.74,4.48,4.12,4.15,4.07,4.07,4.4,3.25,3.02,2.95,2.96,2.97,3.24,85510.1171875,156133.09375,8926.48046875,14815.7490234375,12979.1123046875,14092.9833984375,12014.4384765625,13328.0771484375,9848.025390625,8520.1318359375,11191.162109375,11533.6708984375,14395.9609375,10064.71875,13547.76953125,13564.1689453125,11879.6396484375,10812.96484375,12210.650390625,8234.533203125,9248.1083984375,7823.06201171875,8937.39453125,13406.173828125,16235.3212890625,7528.91064453125,8390.6474609375,5607.47900390625,5935.83251953125,5606.3037109375,11793.064453125,9669.345703125,9392.9482421875,8758.498046875,8991.94921875,9099.185546875,8946.13671875,6354.970703125,6117.8447265625,7577.61865234375,7320.17138671875,4605.720703125,7896.93408203125,5680.154296875,10868.04296875,8368.3642578125,11375.62890625,15389.259765625,11603.4951171875,8677.4091796875
"24-AUG-2026",2026-08-24 08:45:51,2026-08-24,8H 45M 51S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-72.93,-37.32,0,71.08,35.73,1.26,1.13,1.09,1.06,0.85,1.56,4.07,7.61,4.47,7.55,6.86,6.2,5.62,4.68,4.28,3.85,3.88,1.98,1.29,1.98,2.01,1.94,2.14,2.07,2.13,2.12,2.1,1.94,2.13,2.04,2.04,2.01,1.9,2.14,2.1,2.09,1.77,1.67,1.79,1.82,2.49,2.42,2.4,2.23,2.06,2.48,2.67,2.29,2.34,1.83,1.19,1.17,1.2,1.25,1.27,83324.890625,151593.4609375,10958.9345703125,15712.0307617188,13357.3212890625,14427.9067382812,11946.5239257812,13092.9892578125,10855.87890625,10131.5541992188,13292.9169921875,13894.9711914062,15737.4458007812,10276.6420898438,13976.1474609375,13778.2978515625,11972.8427734375,10618.650390625,11951.341796875,7957.21728515625,9700.4462890625,9005.85888671875,10301.09375,15638.0024414062,19025.0966796875,8938.884765625,7807.9072265625,5359.1533203125,5392.62841796875,5108.20654296875,11267.3354492188,10129.4936523438,10209.025390625,9679.2744140625,10036.4951171875,8126.66552734375,8036.03857421875,6887.4560546875,7143.05834960938,9075.5107421875,8813.99658203125,5618.05053710938,9663.0859375,7013.81665039062,12334.7255859375,9701.63671875,13259.9296875,17830.4111328125,13467.923828125,10245.447265625
"21-AUG-2026",2026-08-21 09:46:38,2026-08-21,9H 46M 38S,"Unknown","FACSymphony Analyzer",1,"Administrator",496,272,430,280,337,395,427,460,455,388,272,318,292,241,280,270,305,380,371,378,406,361,329,265,289,301,471,384,428,407,463,449,380,304,330,497,521,451,438,435,274,283,277,305,411,353,341,253,226,225,-73.66,-37.66,0,71.23,35.42,1.29,1.13,1.06,1.06,0.85,3.76,2.96,6.91,3.62,6.09,5.55,5.05,4.68,3.88,3.67,3.44,3.25,4.14,2.69,4.64,4.87,4.89,4.84,4.83,4.82,4.78,4.5,4.2,3.83,3.69,3.67,3.16,2.85,3.27,3.02,3.27,3.15,2.96,2.97,3.23,3.94,4.05,3.8,3.7,3.52,3.39,3.74,3.46,3.63,2.97,2.66,2.67,2.69,2.79,3.02,81028.2578125,146290.640625,9604.1171875,14887.13671875,12849.6298828125,13898.7109375,11807.4697265625,13065.2021484375,9839.9990234375,8611.865234375,11365.6689453125,11914.9375,14282.3359375,9965.228515625,13550.212890625,13700.673828125,11987.2021484375,10869.51171875,12233.3173828125,8253.8310546875,9350.30078125,7968.4658203125,9057.9140625,13559.2275390625,16459.71484375,7713.3359375,7780.69873046875,5252.6640625,5504.33740234375,5210.1572265625,11032.248046875,9195.5478515625,8934.669921875,8378.4140625,8628.2158203125,8832.5927734375,8800.7880859375,6442.78076171875,6292.43505859375,7775.31005859375,7552.1494140625,4751.412109375,8139.98583984375,5865.79541015625,10804.6796875,8421.203125,11450.447265625,15457.9755859375,11687.0078125,8735.0556640625
